date,asset,monthly_return
2000-02-29,SPY,-0.015226008975205874
2000-03-31,SPY,0.09691425201525794
2000-04-30,SPY,-0.03512026646921562
2000-05-31,SPY,-0.01572249745911236
2000-06-30,SPY,0.01968136886529126
2000-07-31,SPY,-0.015701804507347705
2000-08-31,SPY,0.06534105471594631
2000-09-30,SPY,-0.05486256160433134
2000-10-31,SPY,-0.004678292293119335
2000-11-30,SPY,-0.0746528578426432
2000-12-31,SPY,-0.005226274506996642
2001-01-31,SPY,0.044459237531154105
2001-02-28,SPY,-0.09538774861268084
2001-03-31,SPY,-0.05603692706619057
2001-04-30,SPY,0.08543983243739328
2001-05-31,SPY,-0.00560560004855204
2001-06-30,SPY,-0.023829435314845826
2001-07-31,SPY,-0.010195848223927162
2001-08-31,SPY,-0.05933187688935215
2001-09-30,SPY,-0.0816306664928742
2001-10-31,SPY,0.013021646062030934
2001-11-30,SPY,0.07797717617815914
2001-12-31,SPY,0.005639311219844734
2002-01-31,SPY,-0.009798872475195952
2002-02-28,SPY,-0.01793602856787513
2002-03-31,SPY,0.03327082624533384
2002-04-30,SPY,-0.0581552618561213
2002-05-31,SPY,-0.005933928325999593
2002-06-30,SPY,-0.07380794055229656
2002-07-31,SPY,-0.07881911600513325
2002-08-31,SPY,0.006800305891262015
2002-09-30,SPY,-0.10485193473609755
2002-10-31,SPY,0.08228353625731488
2002-11-30,SPY,0.061681279819028934
2002-12-31,SPY,-0.056569811748177545
2003-01-31,SPY,-0.024594995893385208
2003-02-28,SPY,-0.013478597366970768
2003-03-31,SPY,0.002140273010158067
2003-04-30,SPY,0.08461165566768858
2003-05-31,SPY,0.054835695618598024
2003-06-30,SPY,0.010651561000926346
2003-07-31,SPY,0.018027821605853367
2003-08-31,SPY,0.020625192298570516
2003-09-30,SPY,-0.010905853904032536
2003-10-31,SPY,0.053527211016429765
2003-11-30,SPY,0.010921159309979611
2003-12-31,SPY,0.05031234740076895
2004-01-31,SPY,0.01977049887784088
2004-02-29,SPY,0.013570015687536019
2004-03-31,SPY,-0.01324515616263966
2004-04-30,SPY,-0.018921697556535166
2004-05-31,SPY,0.01712355726927517
2004-06-30,SPY,0.01850118643922416
2004-07-31,SPY,-0.03221836375795706
2004-08-31,SPY,0.0024361024735510828
2004-09-30,SPY,0.010037216634473323
2004-10-31,SPY,0.012884143916654045
2004-11-30,SPY,0.04451749611457556
2004-12-31,SPY,0.030121114072085176
2005-01-31,SPY,-0.02242079910029937
2005-02-28,SPY,0.020903897967453844
2005-03-31,SPY,-0.018292795726063127
2005-04-30,SPY,-0.018735262317724266
2005-05-31,SPY,0.03222464116356227
2005-06-30,SPY,0.001515248827360205
2005-07-31,SPY,0.038261048627711736
2005-08-31,SPY,-0.00937417623300274
2005-09-30,SPY,0.008025380776078839
2005-10-31,SPY,-0.02365118087089535
2005-11-30,SPY,0.04395280222387088
2005-12-31,SPY,-0.0019138247114643958
2006-01-31,SPY,0.024014259517555425
2006-02-28,SPY,0.005725701484642798
2006-03-31,SPY,0.016503377372416805
2006-04-30,SPY,0.012632437871309188
2006-05-31,SPY,-0.03012160445075962
2006-06-30,SPY,0.0026081616695263765
2006-07-31,SPY,0.004478918459112524
2006-08-31,SPY,0.02182233665106903
2006-09-30,SPY,0.027001969441659668
2006-10-31,SPY,0.03151618287636615
2006-11-30,SPY,0.019885458533416722
2006-12-31,SPY,0.01337113325680761
2007-01-31,SPY,0.015040078328472983
2007-02-28,SPY,-0.019617336877820524
2007-03-31,SPY,0.011589074136955313
2007-04-30,SPY,0.044295627583685215
2007-05-31,SPY,0.033920087160624446
2007-06-30,SPY,-0.014620835428514112
2007-07-31,SPY,-0.03131011003430895
2007-08-31,SPY,0.012833075469087518
2007-09-30,SPY,0.038714033556345395
2007-10-31,SPY,0.013566757311431976
2007-11-30,SPY,-0.03873291229574416
2007-12-31,SPY,-0.011260607421644475
2008-01-31,SPY,-0.06046112988876717
2008-02-29,SPY,-0.02584229153967832
2008-03-31,SPY,-0.008942185988704443
2008-04-30,SPY,0.04766229859986626
2008-05-31,SPY,0.01511653360158638
2008-06-30,SPY,-0.08357612970074868
2008-07-31,SPY,-0.00898541817395504
2008-08-31,SPY,0.015453467553042444
2008-09-30,SPY,-0.09417362134378193
2008-10-31,SPY,-0.1651866932222782
2008-11-30,SPY,-0.06960653620508228
2008-12-31,SPY,0.009796297695732425
2009-01-31,SPY,-0.08211418544628035
2009-02-28,SPY,-0.10744924363119646
2009-03-31,SPY,0.08331094106865766
2009-04-30,SPY,0.099346080905512
2009-05-31,SPY,0.05845350197768551
2009-06-30,SPY,-0.0006551962427401303
2009-07-31,SPY,0.07460611770387948
2009-08-31,SPY,0.03693952156585678
2009-09-30,SPY,0.035457266680961164
2009-10-31,SPY,-0.019225559860961305
2009-11-30,SPY,0.06160705277523637
2009-12-31,SPY,0.019101098384318727
2010-01-31,SPY,-0.0363429026229547
2010-02-28,SPY,0.031195208467339697
2010-03-31,SPY,0.06087958304622876
2010-04-30,SPY,0.015469730458818942
2010-05-31,SPY,-0.07945422837454941
2010-06-30,SPY,-0.05174099956931433
2010-07-31,SPY,0.06830037866333871
2010-08-31,SPY,-0.0449801055369391
2010-09-30,SPY,0.08955444646963961
2010-10-31,SPY,0.038202241286440675
2010-11-30,SPY,0.0
2010-12-31,SPY,0.06685214421187058
2011-01-31,SPY,0.023300171522246282
2011-02-28,SPY,0.03473725914510428
2011-03-31,SPY,0.00012045979346342328
2011-04-30,SPY,0.028961229237842723
2011-05-31,SPY,-0.011214586894851553
2011-06-30,SPY,-0.01686951745453269
2011-07-31,SPY,-0.020004726983836485
2011-08-31,SPY,-0.05497544003555299
2011-09-30,SPY,-0.06942114212301465
